Type,Semaine,Jour,Titre,Description,Enonce,Indice,Difficulte,TempsEstime
# Programme Python 30 jours - Programme complet avec énoncés détaillés
# Basé sur la structure pédagogique validée

# ============================================================================
# SEMAINE 1 : Fondations et syntaxe de base
# ============================================================================
semaine,1,,Fondations et syntaxe de base,Maîtriser les bases du langage Python,,,,

# --- JOUR 1 : Variables et types ---
jour,1,1,,,,,,,
theorie,1,1,Installation Python + IDE,Installer Python et choisir un éditeur (VSCode PyCharm),,,,15
theorie,1,1,Premier programme Hello World,Créer et exécuter votre premier script Python,,,,10
theorie,1,1,Variables et types de données,Comprendre int float str bool et type(),,,,20

exercice,1,1,Créer 10 variables de types différents,Maîtriser la déclaration de variables,"**Objectif**: Créer et afficher 10 variables de types variés (3 int 2 float 3 str 2 bool). Affichez chaque variable avec son type en utilisant type(). Exemple: print(f'Variable: {age} Type: {type(age)}')","Utilisez print(f'Variable: {ma_var}, Type: {type(ma_var)}')",2,30

exercice,1,1,Calculatrice simple,Créer une calculatrice interactive,"**Objectif**: Programme qui demande 2 nombres et effectue les 4 opérations (+,-,*,/). Format attendu: '10 + 3 = 13' pour chaque opération. Bonus: Ajoutez division entière (//) modulo (%) et puissance (**)","Utilisez float(input()) pour convertir l'entrée",2,30

exercice,1,1,Message personnalisé,Créer un message de bienvenue,"**Objectif**: Demandez prénom nom âge ville puis générez: 'Bonjour Jean Dupont ! Vous avez 25 ans et habitez à Paris.' Bonus: Vérifiez si mineur calculez année de naissance","Utilisez f-strings: f'Bonjour {prenom} {nom}!'",2,25

# --- JOUR 2 : Opérateurs ---
jour,1,2,,,,,,,
theorie,1,2,Opérateurs arithmétiques,Maîtriser + - * / // % **,,,,15
theorie,1,2,Opérateurs de comparaison,Comprendre == != < > <= >=,,,,15
theorie,1,2,Opérateurs logiques,Utiliser and or not,,,,15

exercice,1,2,Convertisseur température,Créer convertisseur bidirectionnel,"**Objectif**: Menu de choix (1: C→F 2: F→C). Formules: C→F=(C×9/5)+32 F→C=(F-32)×5/9. Affichez avec 2 décimales et symboles °C °F. Bonus: Ajoutez Kelvin validations","Utilisez if/elif pour choisir la formule",2,35

exercice,1,2,Calculateur IMC,Calculer et interpréter l'IMC,"**Objectif**: Demandez poids(kg) et taille(m). Calculez IMC=poids/taille². Interprétez: <18.5=Insuffisance 18.5-24.9=Normal 25-29.9=Surpoids ≥30=Obésité. Affichez IMC arrondi à 2 décimales + catégorie + message","Utilisez round(imc 2) et if/elif",2,30

exercice,1,2,Vérificateur de nombre,Analyser les propriétés d'un nombre,"**Objectif**: Demandez un nombre entier. Vérifiez: pair/impair divisible par 3 5 7. Affichez avec ✓ et ✗. Exemple: '✓ Nombre pair ✗ Non divisible par 3'. Bonus: Vérifiez si premier trouvez tous les diviseurs","Utilisez l'opérateur modulo: nombre % 2 == 0",2,25

# --- JOUR 3 : Conditions ---
jour,1,3,,,,,,,
theorie,1,3,Structures conditionnelles if/elif/else,Prendre des décisions dans le code,,,,20
theorie,1,3,Opérateurs logiques combinés,Combiner plusieurs conditions avec and or not,,,,15
theorie,1,3,Conditions imbriquées,Conditions dans les conditions,,,,15

exercice,1,3,Pierre-Papier-Ciseaux,Créer le jeu classique,"**Objectif**: Utilisateur choisit (pierre/papier/ciseaux) ordinateur choisit aléatoirement (random.choice). Règles: Pierre bat Ciseaux Ciseaux bat Papier Papier bat Pierre. Affichez le gagnant. Bonus: Ajoutez compteur de score boucle pour rejouer meilleur de 3","import random; choix_ordi = random.choice(['pierre' 'papier' 'ciseaux'])",3,40

exercice,1,3,Calculateur de réductions,Système de remises par tranches,"**Objectif**: Demandez montant d'achat. Réductions: <50€=0% 50-100€=10% 100-200€=15% >200€=20%. Si client VIP (+5% supplémentaires). Affichez: montant initial réduction montant final. Exemple: 'Montant: 150€ Réduction: 22.5€ (-15%) Total: 127.5€'","Calculez d'abord réduction de base puis ajoutez VIP",3,35

exercice,1,3,Système de notes,Convertir notes en lettres,"**Objectif**: Demandez note sur 20. Convertissez: 18-20=A(Excellent) 16-18=B(Très bien) 14-16=C(Bien) 12-14=D(Assez bien) 10-12=E(Passable) <10=F(Insuffisant). Vérifiez que note entre 0 et 20. Bonus: Ajoutez moyenne de classe mention au bac","Utilisez elif pour chaque tranche",2,30

# --- JOUR 4 : Boucles ---
jour,1,4,,,,,,,
theorie,1,4,Boucles while,Répéter tant qu'une condition est vraie,,,,20
theorie,1,4,Boucles for et range(),Itérer sur une séquence,,,,20
theorie,1,4,Break et continue,Contrôler le flux des boucles,,,,15

exercice,1,4,Table de multiplication,Afficher une table complète,"**Objectif**: Demandez un nombre N. Affichez sa table de 1 à 10: '7 x 1 = 7 / 7 x 2 = 14 / ... / 7 x 10 = 70'. Bonus: Affichez toutes les tables de 1 à 10 en grille formatée avec colonnes alignées","for i in range(1 11): print(f'{N} x {i} = {N*i}')",2,25

exercice,1,4,Devine le nombre,Jeu de devinette,"**Objectif**: Ordinateur choisit nombre 1-100 (random.randint). Joueur a 7 essais. Après chaque essai: 'trop grand' ou 'trop petit'. Si trouvé: félicitations + nb essais. Si échec: révélez le nombre. Bonus: Demandez de rejouer comptez parties gagnées","import random; secret = random.randint(1 100)",3,35

exercice,1,4,Patterns avec boucles,Dessiner des formes avec étoiles,"**Objectif**: Créez 3 patterns: 1.Escalier(* ** *** **** *****) 2.Pyramide(    * / *** / ***** / *******) 3.Triangle inversé(***** **** *** ** *). Utilisez boucles imbriquées. Bonus: Losange Sapin de Noël","Pour pyramide: print(' ' * espaces + '*' * etoiles)",3,30

# --- JOUR 5 : Listes ---
jour,1,5,,,,,,,
theorie,1,5,Listes création et manipulation,Créer modifier accéder aux éléments,,,,20
theorie,1,5,Indexation et slicing,Accéder aux éléments liste[0] liste[1:3] liste[-1],,,,20
theorie,1,5,Méthodes de listes,append() remove() pop() insert() sort() reverse(),,,,20

exercice,1,5,Gestionnaire de tâches simple,Application TODO en console,"**Objectif**: Menu infini: 1.Ajouter tâche 2.Voir toutes 3.Marquer terminée(supprimer) 4.Quitter. Utilisez liste pour stocker. Numérotez les tâches à l'affichage. Bonus: Ajoutez priorités dates d'échéance sauvegarde fichier","taches = []; taches.append(nouvelle); taches.remove(tache)",3,40

exercice,1,5,Tri et statistiques de nombres,Analyser une liste de nombres,"**Objectif**: Demandez 10 nombres. Affichez: liste originale liste triée croissant liste triée décroissant max min moyenne médiane. Bonus: Écart-type mode valeurs uniques","liste.sort() max(liste) min(liste) sum(liste)/len(liste)",3,35

exercice,1,5,Recherche dans liste,Trouver et manipuler éléments,"**Objectif**: Liste prédéfinie de fruits ['pomme' 'banane' 'orange' 'pomme' 'kiwi']. Demandez fruit à chercher. Indiquez: existe? position(s) nombre d'occurrences. Proposez de supprimer toutes les occurrences. Bonus: Recherche insensible à la casse","fruit in liste liste.index(fruit) liste.count(fruit)",2,30

# --- WEEKEND : Projet ---
jour,1,99,,,,,,,
projet,1,99,Jeu du Pendu,Projet intégrant tous les concepts,"**Cahier des charges**: Liste 10+ mots prédéfinis. Choix aléatoire. Affichage mot avec _ pour lettres non trouvées. Demander une lettre. Max 6 erreurs. Afficher lettres essayées. Conditions victoire/défaite. **Bonus**: Dessin ASCII du pendu catégories de mots (animaux pays) difficulté système de scores historique parties",Code structure fourni dans énoncé complet,4,180

# ============================================================================
# SEMAINE 2 : Structures de données et fonctions
# ============================================================================
semaine,2,,Structures de données et fonctions,Organiser et réutiliser le code,,,,

# --- JOUR 1 : Dictionnaires et Tuples ---
jour,2,1,,,,,,,
theorie,2,1,Tuples et leurs utilisations,Séquences immuables et unpacking,,,,15
theorie,2,1,Dictionnaires création,Paires clé-valeur {key: value},,,,20
theorie,2,1,Méthodes des dictionnaires,get() keys() values() items(),,,,20

exercice,2,1,Carnet d'adresses,Gestion de contacts,"**Objectif**: Structure {nom: {tel: '...' email: '...' ville: '...'}}. Menu: 1.Ajouter 2.Rechercher 3.Modifier 4.Supprimer 5.Afficher tous 6.Quitter. Gérez cas contact inexistant. Bonus: Recherche partielle export CSV import CSV","contacts = {}; contacts[nom] = {'tel': tel}",3,45

